created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:58:03 +0000 2023;1718779259681181975;"@yunartowijaya Satu lagi sudirman bukan anak presiden dan pamannya buka ketua MK ckckck";0;0;0;0;in;1480925409114046472;1718777042991448272;SuaraBorneo;https://twitter.com/SuaraBorneo/status/1718779259681181975
Sun Oct 29 23:57:47 +0000 2023;1718779192505249997;"Itu kampanye caleg dari Gerindra dan sosialisasi partai, bukan kampanye presiden. Nanti ada yang salah sangka..   “Kata Kimberley, ayah bla..bla.. ayah fafifufefo..” 🤣🤣 https://t.co/bmh532OJr6";5;12;4;19;in;1603576856573509633;1718779192505249997;Kimberley_2024;https://twitter.com/Kimberley_2024/status/1718779192505249997
Sun Oct 29 23:57:44 +0000 2023;1718779180786360524;"@kikysaputrii dia cuma blg iris kuping, ga bilang kuping dia. klo kejadian plg beli gulai kepala kambing trs diris telingane lgsg hap yummie...be ieve me. berani ga dia blg iris kuping dia sendiri?he";0;0;0;1;in;121096339;1718658209714745619;AnakePresiden;https://twitter.com/AnakePresiden/status/1718779180786360524
Sun Oct 29 23:57:39 +0000 2023;1718779158678192252;"Terimakasih pak Presiden @aniesbaswedan atas doanya buat Ponpes Darussalam @blokagung https://t.co/EAJFWuqGMj";7;13;85;385;in;219108288;1718779158678192252;ninikwafiroh;https://twitter.com/ninikwafiroh/status/1718779158678192252
Sun Oct 29 23:57:37 +0000 2023;1718779148372774975;"kampanye jg bebas ko, ga bakal Presiden negur 😏";0;0;0;0;in;961737812;1718779148372774975;dwikyenggar;https://twitter.com/dwikyenggar/status/1718779148372774975
Sun Oct 29 23:57:33 +0000 2023;1718779131595563279;"((( reshuffle buzzer ))) 😂😂😂";0;0;0;0;en;260575817;1718779131595563279;KicauSunyi;https://twitter.com/KicauSunyi/status/1718779131595563279
Sun Oct 29 23:57:32 +0000 2023;1718779128927953163;"@Smokingskills07 Through to the Jahanam. Enjoy curry man😄";0;1;0;3;en;256860775;1712831722260517347;naminaminasaha;https://twitter.com/naminaminasaha/status/1718779128927953163
Sun Oct 29 23:57:22 +0000 2023;1718779089606389924;"@democrazymedia Jelas aja nggak pernah bohong,nggak pernah jadi presiden kok..! Coba kalau nnt jadi....";0;0;0;0;in;1476571556125949955;1718591005820338624;nedy_warman;https://twitter.com/nedy_warman/status/1718779089606389924
Sun Oct 29 23:56:59 +0000 2023;1718778991312527707;"@diasporating Instead him to go and speak to the presiden of Guyana. Wotless man.";1;1;1;1;en;137040138;1718709748193968496;thesocahontas;https://twitter.com/thesocahontas/status/1718778991312527707
Sun Oct 29 23:56:48 +0000 2023;1718778943007043901;"@Pusink25016665 @Musliadi194 @sagitarommy @celanajoger2325 @Danangsasongko9 @Illustragic @ernestprakasa isu HAM sih pemilu sebelumnya gencar dibahas &amp  kuat ya, tapi sekarang banyak yg ga percaya.  Narasinya adl, sejak Habibie,Megawati,SBY,Jokowi, udah brp kali ganti presiden tapi tetep ga ada yg memproses. Padahal ada Megawati cucu Soekarno, ada juga SBY yg jenderal";0;1;0;0;in;734624843975495680;1718502137041432624;txtcopypaste;https://twitter.com/txtcopypaste/status/1718778943007043901
Sun Oct 29 23:56:45 +0000 2023;1718778930440880467;"@Enrico142005 @gibran_tweet Dukung saja AMIN mas insyaallah orang-orang nya baik dan tidak akan memalukan dan mempermalukan seniornya apalagi menyangkut simbol negara. Bangsa kita tidak mengenal balas DENDAM dan sudah diajarkan oleh Ulama kita Buya Hamka kepada Presiden Soekarno";0;0;0;0;in;1670617245037522945;1715295093056565528;HanurUrip2433;https://twitter.com/HanurUrip2433/status/1718778930440880467
Sun Oct 29 23:56:08 +0000 2023;1718778775234904090;"@ekokuntadhi1 GAMA TOP 2024  PRESIDEN   2024 👍👍👍👍👍👍👍";0;0;0;1;en;1445416761260601346;1718571167857160515;MariaEyyi;https://twitter.com/MariaEyyi/status/1718778775234904090
Sun Oct 29 23:55:47 +0000 2023;1718778689201246332;"@SammiSoh @PDI_Perjuangan Peran Jokowi hanya petugas partai,semua kebijakan pemerintahan berasal dr Mega,artinya Megalah presiden sesungguhnya,Presiden JKW HANYA WAYANG SEMATA,ITU YG BUAT JLW TDK NYAMAN DAN PROGRAM TDK JALAN ,BISA SAJA MEGA DILOBY ASING TERKAIT HILIRISASI TAMBANG,ASING MARAH SAMA JKW🤫";0;0;0;0;in;1705950363508244481;1718454755264270547;LapoTuak357329;https://twitter.com/LapoTuak357329/status/1718778689201246332
Sun Oct 29 23:55:41 +0000 2023;1718778665184698853;"Jlebreett.... 😁👍";0;0;0;0;in;260575817;1718778665184698853;KicauSunyi;https://twitter.com/KicauSunyi/status/1718778665184698853
Sun Oct 29 23:55:39 +0000 2023;1718778656586383617;"@kreweela @m4retha Ibu Menlu, dan pak presiden udh jor-jor an negasin Indonesia mendukung penuh buat kebebasan warga palestine, dan meminta gencatan senjata. Ini warga Indonesia kok masih ada aja yang berpikiran hamba sahaya gini?";0;0;0;2;in;1131044882926034945;1718644704060027262;purpleboomie;https://twitter.com/purpleboomie/status/1718778656586383617
Sun Oct 29 23:55:27 +0000 2023;1718778605722042538;"@VIVAcoid SETUJU BANGET. INSPIRASI BAHWA KALAU KAMU BUKAN ANAK PRESIDEN, NGIMPI AJA BUAT JADI PEMIMPIN NEGERI INI.";0;0;0;0;in;565336683;1718486841404662033;Romy_Padang;https://twitter.com/Romy_Padang/status/1718778605722042538
Sun Oct 29 23:55:05 +0000 2023;1718778514785374289;"@nihatkaradag760 @Angelica66DH @prabowo @gibran_tweet Ane udah ga ragu soal pengabdian beliau Prabowo, makanya ane masih berharap Prabowo jadi presiden";0;0;0;0;in;500819866;1718289391519736130;CherryPaffrath9;https://twitter.com/CherryPaffrath9/status/1718778514785374289
Sun Oct 29 23:54:38 +0000 2023;1718778399932710977;"@ganjarpranowo Kl nanti terpilih Nobar sm presiden";0;0;0;0;in;313822807;1718682465643241556;Otsamus;https://twitter.com/Otsamus/status/1718778399932710977
Sun Oct 29 23:54:25 +0000 2023;1718778343779434676;"@blantik_pedhet1 @madetirtasari Jadi ingat bisnis Gibran yg dapat modal 71 miliar. Kok bisa? Bisa dong krn anak presiden.  Gimn kl dia dah jadi wapres? Ngeri..  Bukan Indonesia emas, tp keluarga emas..";0;0;0;0;in;336989942;1718509009429577795;AzwarEko;https://twitter.com/AzwarEko/status/1718778343779434676
Sun Oct 29 23:54:25 +0000 2023;1718778343766872122;"@Gus_Raharjo Kalo aku si sekalian udah main kenapa ga langsung jadi presiden nya ajah ngapain wakil segala";0;0;0;0;in;1697259707638128640;1718392878916067582;zckyargo;https://twitter.com/zckyargo/status/1718778343766872122
Sun Oct 29 23:54:12 +0000 2023;1718778290813669852;"Presiden Joe Biden,ingatkan pihak militer Israel untuk tidak menyerang warga sipil di Gaza,karena mereka tidak bersenjata dan tidak ada kaitannya dengan perang,Hamas mengklaim jumlah korban tewas dalam aksi serangan Israel,bertambah menjadi 8.000 orang hingga saat ini.";0;0;1;2;in;980097559736721408;1718778290813669852;AlbertSolo2;https://twitter.com/AlbertSolo2/status/1718778290813669852
Sun Oct 29 23:53:41 +0000 2023;1718778158961557868;"@kikysaputrii Masalahnya teh udah gak punya dua2nya gak mau diem masih ngebacot aja, lebih dari, pengennya juga mau ngomong G*BL*K kalo boleh sih 🤭";0;0;0;0;in;1523216754066923520;1718658209714745619;RajjFifth;https://twitter.com/RajjFifth/status/1718778158961557868
